"artist_name","track_name","album_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"John Denver","Bread and Roses","The John Denver Collection, Vol 3: Rocky Mountain High",0.516,0.316,2,-13.747,1,0.0273,0.388,0,0.059,0.0992,100.629,237306
"Björk","Come To Me","Vulnicura Live",0.229,0.404,4,-11.522,1,0.0484,0.105,0.0011,0.708,0.0489,87.032,323300
"Mother Nature Sound FX","Dark Rain","! ! ! ! Calming Mother Nature Collective ! ! ! !",0.165,0.484,5,-28.193,0,0.044,0.413,0.889,0.105,0.0293,78.782,78994
"Ludwig van Beethoven","Symphony No. 8 in F Major Op 93: 1. Allegro Vivace E Con Brio","Beecham Conducts Beethoven",0.283,0.18,5,-14.367,1,0.0415,0.934,0.742,0.105,0.143,156.457,569026
"Frédéric Chopin","Piano Concerto No. 2 in F Minor, Op. 21: II. Larghetto","Chopin: The Piano Concertos",0.255,0.0274,8,-26.386,1,0.0418,0.977,0.896,0.0864,0.0486,87.645,602840
"Wolfgang Amadeus Mozart","Sonata for Piano and Violin in F, K.13 - for Harpsichord and Violin: 3. Menuetto I-II","The Art of Mozart",0.405,0.235,2,-20.139,0,0.0463,0.918,0.00208,0.378,0.587,83.298,124240
"David Arkenstone","Fields Of Gold","Celtic Romance",0.629,0.347,5,-11.007,1,0.0273,0.481,0.00173,0.0998,0.435,104.029,217746
"Bruno Mars","Gorilla","Unorthodox Jukebox",0.717,0.544,7,-6.598,1,0.0371,0.445,5.16e-06,0.0973,0.641,139.959,244493
"Mother Nature Sound FX","Perfect Wilderness","Mellow International Woodland Sounds",0.143,0.501,8,-18.961,1,0.0932,0.24,0.00133,0.828,0.063,82.322,184222
"Wolfgang Amadeus Mozart","Serenade in G Major, K. 525 ""Eine kleine Nachtmusik"": 1. Allegro","Mozart: Serenades",0.445,0.168,7,-14.952,1,0.0431,0.983,0.924,0.331,0.365,135.39,504279
"Frédéric Chopin","Piano Sonata No. 3 in B Minor, Op. 58: II. Scherzo: Molto vivace","Paul Badura Skoda Plays Chopin (1971-1975)",0.255,0.0287,4,-31.165,1,0.0347,0.992,0.797,0.194,0.112,91.01,164666
"Ricardo Arjona","El Amor - Versión Demo","Independiente + Demos",0.632,0.414,5,-6.304,1,0.0648,0.832,0,0.177,0.386,75.991,413306
"Frédéric Chopin","Mazurka No. 38 in F-Sharp Minor, Op. 59, No. 3","The Great Chopin Performances",0.242,0.0546,6,-23.086,1,0.0649,0.994,0.871,0.127,0.184,211.825,228226
"Johann Sebastian Bach","Keyboard Partita No. 5 in G Major, BWV 829: III. Corrente","Bach: 6 Partitas, BWVV 825-830",0.356,0.403,7,-19.324,1,0.0364,0.984,0.916,0.151,0.973,130.784,96200
"Moby","The Day","The Day",0.465,0.596,0,-7.308,1,0.0276,0.00015,4.87e-05,0.134,0.116,108.023,272200
"Eric Clapton","Further On Up The Road - Live","Just One Night",0.524,0.843,7,-10.69,1,0.0409,0.0497,0.0681,0.97,0.634,133.462,441426
"Gamma Ray","Watcher in the Sky (Live)","Live - Skeletons and Majesties",0.262,0.963,2,-5.644,1,0.148,8.09e-06,6.11e-05,0.959,0.145,99.713,327760
"Frédéric Chopin","12 Etudes, Op.25: No.11 In A Minor ""Winter Wind""","Chopin The Artist",0.328,0.356,9,-15.483,0,0.0393,0.969,0.903,0.137,0.0733,117.792,222280
"Armin van Buuren","Sex, Love & Water - Melosense Remix","Balance (Remixes)",0.781,0.644,6,-7.318,0,0.0623,0.33,0.0582,0.0933,0.361,113.017,195585
"Ludwig van Beethoven","12 Variations on ""Ein Mädchen oder Weibchen"" for Cello and Piano, Op. 66: Variation XII. Allegro","Eternal Classical: Beethoven",0.39,0.0701,5,-25.289,1,0.0356,0.992,0.937,0.108,0.494,127.733,126773
"Violeta Parra","De la Pierna de un Zancudo","La Cueca",0.736,0.292,9,-11.234,1,0.117,0.881,0,0.1,0.749,120.114,84756
"Jack Johnson","Do You Remember / Remember - Live In Santa Barbara, California/2008","En Concert",0.647,0.688,6,-6.068,0,0.0349,0.403,6.14e-05,0.991,0.618,95.787,225880
"Wolfgang Amadeus Mozart","Capriccio in C Major, K.284a/4","Mozart 225: Complete Keyboard Music",0.283,0.677,0,-10.346,1,0.039,0.927,0.821,0.192,0.62,84.241,63986
"Mother Nature Sound FX","Distant Thunder","! ! // eyes // ! !",0.166,0.286,10,-24.546,0,0.0991,1.06e-05,0.959,0.0822,0.134,79.306,59219
"Sergei Rachmaninoff","Piano Concerto No.1 in F sharp minor, Op.1: 2. Andante","Rachmaninoff Autumn Study Vibes",0.222,0.0283,7,-31.335,1,0.0383,0.988,0.863,0.157,0.0379,173.971,381226
"Los Auténticos Decadentes","Cyrano","Cualquiera Puede Cantar",0.727,0.808,7,-7.724,1,0.0454,0.237,2.15e-05,0.075,0.965,95.349,268666
"Pyotr Ilyich Tchaikovsky","Tchaikovsky : Swan Lake Op.20 : VIII Mazurka","Tchaikovsky : Swan Lake & The Sleeping Beauty [Excerpts]",0.344,0.203,9,-23.529,0,0.0586,0.401,0.00256,0.0861,0.281,103.485,246640
"Dream Theater","Moment of Betrayal","The Astonishing",0.474,0.931,4,-6.249,0,0.0509,0.000112,0.000139,0.0943,0.312,163.03,371720
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Var. 18, Canone alla sesta","Bach: Goldberg Variations, BWV 988",0.443,0.211,7,-23.748,1,0.0444,0.994,0.927,0.135,0.855,87.16,91349
"Fito Paez","Fue amor","Tercer Mundo",0.648,0.735,0,-8.692,1,0.0276,0.208,3.35e-06,0.133,0.736,117.835,253373
"Ludwig van Beethoven","Symphony No. 1 in C Major, Op. 21: II. Andante cantabile con moto","Beethoven: The Complete Symphonies",0.292,0.0137,0,-27.123,1,0.0406,0.942,0.178,0.0828,0.114,104.113,455013
"Miles Davis","Chance It","Miles Davis (Vol. 1)",0.371,0.647,0,-9.134,1,0.0347,0.562,0.00279,0.371,0.926,139.969,181748
"Genesis","Unquiet Slumbers For The Sleepers - 2007 Remaster","Wind And Wuthering",0.185,0.332,2,-17.088,1,0.037,0.79,0.98,0.185,0.0802,120.85,139923
"Nirvana","Mrs. Butterworth - 1988 Rehearsal","With The Lights Out - Box Set",0.473,0.79,9,-6.666,0,0.0514,0.00329,0.152,0.58,0.594,86.634,244000
"Mother Nature Sound FX","Peaceful On Piano","29 Just Natural Sounds",0.303,0.163,2,-21.566,1,0.0625,0.944,0.00241,0.0982,0.111,138.822,99030
"Ludwig van Beethoven","33 Piano Variations in C, Op.120 on a Waltz by Anton Diabelli: Variation XVI (Allegro)","Focus With Beethoven",0.338,0.256,0,-19.173,1,0.0327,0.988,0.89,0.134,0.647,124.091,62600
"Sonata Arctica","Caleb - Live in Oulu","Live in Finland",0.57,0.936,1,-4.774,1,0.0444,0.00396,0.0277,0.944,0.387,99.987,383866
"Eminem","Sing For The Moment","The Eminem Show",0.666,0.807,5,-4.178,0,0.113,0.00196,6.39e-06,0.0381,0.164,164.025,339573
"The Who","Underture","The Who - Tommy - The Rock Opera",0.435,0.429,5,-16.143,0,0.036,0.432,0.856,0.0942,0.0429,134.728,605544
"Frédéric Chopin","Mazurka No. 34 in C Major, Op. 56, No. 2","Chopin, F.: Mazurkas",0.33,0.0255,0,-28.121,1,0.0364,0.995,0.886,0.203,0.186,85.109,119000
"Keane","Perfect Symmetry","Perfect Symmetry",0.518,0.883,0,-4.22,0,0.0373,0.03,0,0.0647,0.484,115.033,310626
"Camille Saint-Saëns","Ave verum en Si Mineur, pour deux voix égales et orgue","Saint-Saëns: Samson et Dalila à l'église",0.176,0.0974,4,-24.907,0,0.0438,0.965,0.121,0.126,0.0355,144.353,143866
"Johann Sebastian Bach","The Well-Tempered Clavier: Book 1, BWV 846-869: Prelude XXIII In B Major BWV 868","The Colours of Bach",0.321,0.131,11,-23.396,1,0.0527,0.995,0.929,0.116,0.191,125.701,87800
"Xavier Rudd","Keep It Simple","Storm Boy",0.561,0.703,0,-9.21,1,0.0455,0.553,0.0805,0.0917,0.701,136.011,298440
"U2","Angel Of Harlem","Rattle And Hum",0.519,0.694,0,-10.792,1,0.0264,0.104,2.3e-06,0.111,0.928,102.718,229266
"Easy Listening Jazz","Modish Quarantine","Cool Ambiance for Self Care",0.506,0.128,7,-14.369,1,0.0378,0.91,0.752,0.174,0.376,82.28,160031
"Camille Saint-Saëns","Le Carnaval des Animaux: Fossiles","Saint-Saëns: An Introduction",0.664,0.322,3,-17.242,1,0.0336,0.936,0.455,0.273,0.868,123.19,78413
"RÜFÜS DU SOL","You Were Right","Bloom",0.708,0.793,5,-5.426,0,0.0341,0.0138,0.00227,0.118,0.735,122.014,239417
"Wolfgang Amadeus Mozart","12 German Dances, K. 586: No. 9 in B-Flat Major","<U+590F><U+306B><U+8074><U+304D><U+305F><U+3044><U+30E2><U+30FC><U+30C4><U+30A1><U+30EB><U+30C8>",0.474,0.0207,5,-16.845,1,0.0334,0.974,0.289,0.112,0.404,75.563,104000
"Ludwig van Beethoven","Violin Concerto in D Major, Op. 61: 2. Larghetto","Beethoven No Trabalho",0.127,0.0454,7,-27.043,1,0.0532,0.907,0.431,0.164,0.0656,61.178,474090
"Mother Nature Sound FX","Metallic Rain","!!""() inspiration ()""!!",0.105,0.999,5,-22.322,0,0.0528,0.901,0.811,0.733,1e-05,88.605,179644
"Fonseca","Ilusión","Ilusión",0.583,0.919,7,-5.521,1,0.115,0.404,0,0.125,0.773,197.912,211066
"Erasure","Be The One - Paul Humphreys Remix","The Violet Flame (Remixes)",0.678,0.725,7,-7.069,1,0.0347,0.0138,0.225,0.159,0.594,100.021,302853
"The Chemical Brothers","A Modern Midnight Conversation","We Are The Night",0.617,0.983,4,-4.249,1,0.0475,0.0245,0.813,0.129,0.402,122.983,356426
"Pyotr Ilyich Tchaikovsky","Symphony No. 4 in F Minor, Op. 36: IV. Allegro con fuoco","Tchaikovsky: Symphony No. 4, Marche Slave",0.294,0.304,5,-16.848,1,0.0517,0.869,0.826,0.31,0.0936,140.764,551400
"Ziggy Alberts","Youngblood","Land & Sea",0.756,0.471,11,-7.103,0,0.0598,0.747,2.47e-05,0.217,0.333,125.293,301000
"Amos Lee","Whiskey On Ice","My New Moon",0.529,0.155,10,-14.833,1,0.0419,0.832,3.27e-05,0.0911,0.171,132.958,211973
"Mother Nature Sound FX","Meditation Unbound","Relaxing Meditation Music",0.123,0.00754,0,-33.936,1,0.05,0.957,0.958,0.0702,0.0387,72.249,239999
"Dream Theater","Lord Nafaryus","The Astonishing",0.401,0.939,2,-6.638,1,0.188,0.00954,1.07e-05,0.378,0.359,194.998,208253
"Christophe Beck","Salt Fractal","The Seeker: The Dark Is Rising (Music from the Motion Picture)",0.151,0.0591,7,-28.631,0,0.0384,0.814,0.149,0.276,0.0348,104.232,128413
"Los Fabulosos Cadillacs","Siguiendo La Luna (En Vivo) - Remasterizado 2008","En Vivo En Buenos Aires",0.516,0.824,7,-4.594,1,0.106,0.133,0.00166,0.519,0.657,133.06,537333
"Johann Sebastian Bach","The Well-Tempered Clavier, Book 1: Fugue No. 22 in B-Flat Minor, BWV 867","Bach: Keyboard Works",0.207,0.218,9,-14.404,0,0.0365,0.972,0.939,0.079,0.152,66.801,160960
"Frédéric Chopin","12 Etudes, Op.25: No.3 In F","Colors of Chopin",0.291,0.172,0,-18.774,1,0.0333,0.99,0.929,0.0828,0.496,131.739,113000
"Mother Nature Sound FX","Nature Music","! / "" field "" / !",0.258,0.962,11,-22.756,0,0.0649,0.194,0.9,0.385,1e-05,94.75,73325
"Pyotr Ilyich Tchaikovsky","Swan Lake, Op. 20 (Highlights): No. 8 Danse Des Coupes","Tchaikovsky: Swan Lake (Complete)",0.467,0.41,4,-13.703,1,0.0338,0.631,0.901,0.278,0.507,114.496,382293
"Johann Sebastian Bach","Schwingt freidig euch empor, BWV 36 for the First Sunday of Advent: II. Choral (Soprano, Alto) Nun komm, der Heiden Heiland","Bach for Christmas/Bach zu Weihnachten, Vol. 1",0.298,0.0871,5,-19.989,0,0.0408,0.984,0.873,0.105,0.161,103.363,233520
"Antonín Dvorák","Symphony No. 5, Op. 76: I. Allegro ma non troppo","Dvorák Hits",0.236,0.0707,5,-19.952,1,0.0385,0.982,0.944,0.0814,0.0538,116.193,544333
"Johann Sebastian Bach","Christmas Oratorio, BWV 248, Cantata No. 2: Christmas Oratorio, BWV 248, Cantata No. 2: VI. Aria. ""Frohe Hirten, eilt, ach eilet""","J.S. Bach: Christmas Oratorio",0.494,0.0719,6,-23.225,1,0.0482,0.972,2.92e-06,0.122,0.506,120.551,200550
"Frédéric Chopin","12 Etudes, Op. 25: No. 19 in C-Sharp Minor, Op. 25, No. 7","Chopin: Les Études",0.259,0.0277,1,-25.463,0,0.0421,0.994,0.914,0.0885,0.0834,65.427,287840
"Pitbull","Come N Go (feat. Enrique Iglesias)","Planet Pit",0.63,0.703,6,-5.927,0,0.199,0.0396,0.0578,0.486,0.489,126.033,230320
"Johann Sebastian Bach","Concerto in G major, BWV 973 (from Vivaldi RV299) - Arr. for harp and orchestra by N.Zabaleta: 2. Largo cantabile","Bach Para Trabalhar",0.544,0.024,4,-25.792,0,0.0423,0.987,0.927,0.0954,0.114,124.552,153000
"Johann Sebastian Bach","Brandenburg Concerto No. 4 in G Major, BWV 1049: I. Allegro","Bach: Brandenburg Concertos Nos. 1-6",0.499,0.345,6,-11.104,1,0.0563,0.971,0.00109,0.184,0.704,86.515,443468
"Mother Nature Sound FX","Sweet Lake","! ! ! ! ! ! Fruits ! ! ! ! ! !",0.267,0.389,10,-22.586,1,0.104,0.193,0.0275,0.419,0.122,134.779,214856
"Johann Sebastian Bach","Johannespassion, BWV 245, Pt. 2 No. 32: Mein teurer Heiland, laß dich fragen - Jesu, der du warest tot (Aria - Bass mit Chor)","Passions at Easter",0.345,0.241,2,-17.077,1,0.0401,0.908,1.01e-05,0.339,0.387,117.134,274533
"Johann Sebastian Bach","Italian Concerto In F Major, BWV 971: 2. Andante","Bach Relaxed Cooking",0.496,0.00839,2,-30.446,0,0.0409,0.995,0.935,0.101,0.28,65.762,303893
"John Coltrane","Soft Winds","Side Steps (eBooklet)",0.643,0.61,10,-7.966,1,0.0375,0.838,0.116,0.128,0.681,109.469,827920
"Pyotr Ilyich Tchaikovsky","Piano Trio in A Minor, Op. 50, TH 117: IIl. Var. 11","Tchaikovsky: Piano Trio in A Minor, Op. 50, TH 117 - Rachmaninoff: Trio élégiaque No. 1 in G Minor",0.316,0.0875,4,-23.504,1,0.0414,0.944,0.628,0.316,0.203,81.996,135186
"Pet Shop Boys","Leaving","Elysium",0.642,0.626,2,-7.832,1,0.0336,0.138,0.000544,0.191,0.738,129.94,230694
"Childish Gambino","All the Shine - Little Dragon Remix","Heartbeat (Remix Bundle)",0.858,0.539,1,-9.109,1,0.196,0.0091,0.000192,0.163,0.764,102.881,217160
"Ludwig van Beethoven","18 Sketches, Bia. 96: No. 5, —","Beethoven: Piano Fragments & Sketches",0,0.0244,2,-36.497,1,0,0.993,0.98,0,0,0,6173
"Johann Sebastian Bach","Brandenburg Concerto No.3 In G, BWV 1048: 2. Adagio","Bach Winter Music",0.137,0.00715,4,-33.093,0,0.0484,0.939,0.000783,0.154,0.0508,170.517,96906
"Frédéric Chopin","12 Etudes, Op.25: No.4 In A Minor","The World of Chopin",0.418,0.121,2,-25.932,0,0.0601,0.994,0.893,0.0876,0.902,164.318,112173
"Frédéric Chopin","Images For Orchestra, L. 122 / 2. Ibéria: 1. Par les rues et par les chemins - Live","Chopin Urban Autumn",0.185,0.124,5,-22.403,0,0.0433,0.931,0.719,0.116,0.189,168.294,433000
"Rudimental","Scared of Love (feat. RAY BLK & Stefflon Don)","Toast to Our Differences (Deluxe Edition)",0.721,0.691,5,-4.671,1,0.0536,0.0159,1.87e-06,0.286,0.343,118.018,203000
"Mother Nature Sound FX","Wild Ambience","29 Calming Night Time Natural Sounds",0.112,0.496,7,-25.567,1,0.089,0.423,0.912,0.714,0.0396,87.001,133000
"Wolfgang Amadeus Mozart","Six German Dances, K.600: No.2 in F","Mozart - A Journey",0.55,0.0864,5,-16.206,1,0.0474,0.98,0.158,0.098,0.744,128.253,116200
"Red Hot Chili Peppers","Otherside","Californication",0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373
"The Chemical Brothers","Electronic Battle Weapon 4","Brotherhood",0.692,0.982,3,-4.799,1,0.0386,0.00375,0.875,0.099,0.495,140.993,365759
"Ludwig van Beethoven","Piano Sonata No. 22 in F Major, Op. 54: I. In tempo d'un menuetto","Beethoven 32, Vol. 6: Piano Sonatas Nos. 19-22",0.318,0.161,5,-21.825,1,0.0545,0.983,0.892,0.0671,0.108,76.281,366226
"Genesis","Hold on My Heart - Live in Hannover","Live Over Europe, 2007",0.308,0.359,3,-14.873,1,0.0369,0.716,0.0126,0.691,0.193,171.507,358493
"Leach","I Ain't Got Nothing (If I Ain't Got You)","Millennial Spirituals",0.58,0.481,1,-8.511,1,0.0278,0.821,0.000579,0.131,0.517,155.808,151180
"Johann Sebastian Bach","<U+7121><U+4F34><U+594F><U+30C1><U+30A7><U+30ED><U+7D44><U+66F2> <U+7B2C>3<U+756A> <U+30CF><U+9577><U+8ABF> BWV 1009: III. Courante","J. S. <U+30D0><U+30C3><U+30CF>:<U+7121><U+4F34><U+594F><U+30C1><U+30A7><U+30ED><U+7D44><U+66F2><U+5168><U+66F2>",0.412,0.102,11,-22.967,1,0.0579,0.966,0.919,0.106,0.744,146.016,235506
"Ludwig van Beethoven","24 Variations on ""Venni Amore"" in D Major, WoO 65: Variation XVIII","Great Composers: Beethoven",0.544,0.0112,2,-25.642,1,0.0709,0.994,0.9,0.108,0.89,137.629,48840
"Boney M.","Strange","Boonoonoonoos",0.795,0.812,7,-7.158,1,0.0755,0.115,8.99e-05,0.0519,0.793,98.066,209533
"Stratovarius","Forever (Remastered 2016) [Visions of Destiny] [Live]","Destiny (Reissue 2016)",0.402,0.453,10,-13.263,0,0.12,0.802,0.000501,0.672,0.508,118.779,254823
"Frédéric Chopin","Waltz No.9 in A flat, Op.69 No.1 -""Farewell"": Tempo di Valse","Chopin: Piano Works",0.228,0.0533,8,-25.218,1,0.0459,0.995,0.879,0.091,0.119,80.931,221906
"Wolfgang Amadeus Mozart","Mozart: Fantasia for Piano in D Minor, K. 397","100 Best Mozart",0.397,0.0374,2,-26.592,1,0.0641,0.992,0.89,0.0715,0.175,122.895,338186
"CNCO","De Mí","Que Quiénes Somos",0.741,0.687,0,-4.409,1,0.082,0.128,0,0.213,0.441,93.996,194306
"Ludwig van Beethoven","String Quartet No. 8 in E Minor, Op. 59, No. 2 ""Rasumovsky"": IV. Presto","Beethoven for Kids (250 Years of Beethoven)",0.453,0.131,0,-17.067,1,0.0662,0.971,0.0235,0.107,0.304,79.051,318799
"Pinkfong","Canção de Ninar do Bebê Tubarão","Pinkfong Presents: O Melhor De Baby Shark Pt. 2",0.637,0.218,7,-9.027,1,0.0349,0.797,0,0.0639,0.584,93.989,77476
"Wolfgang Amadeus Mozart","Contredanse in B Flat Major, K.123","Classical Masters: Mozart",0.687,0.187,10,-17.119,1,0.0394,0.941,0.0818,0.0755,0.906,134.477,76920
"Frédéric Chopin","Cello Sonata In G Minor, Op.65: 3. Largo","Classical for Cleaning: Chopin",0.0861,0.0138,10,-30.978,1,0.0384,0.95,0.477,0.0803,0.0599,83.008,224253
"Frédéric Chopin","Nocturne No. 18 in E Major, Op. 62, No. 2","Chopin: Nocturnes",0.296,0.0115,4,-31.141,1,0.0356,0.994,0.906,0.0639,0.0809,70.017,344826
"Johann Sebastian Bach","Sonata for Flute and Harpsichord in B Minor, BWV 1030: I. Andante","Bach: Sonate a cembalo obligato e traversiere solo",0.332,0.181,6,-18.114,1,0.0452,0.884,5.5e-06,0.345,0.38,120.009,494095
"Mother Nature Sound FX","Beach Rain","! ! "" "" Leaf "" "" ! !",0.207,0.962,1,-20.808,0,0.0503,0.0947,0.256,0.373,0.0115,102.779,77844
"Pyotr Ilyich Tchaikovsky","6 Pieces, Op. 51, TH 143: 2. Polka peu dansante","Tchaikovsky: The Complete Solo Piano Works",0.27,0.0642,11,-26.17,0,0.0435,0.994,0.872,0.0741,0.176,67.233,306980
"Los Tres Ases","Historia de un Amor","15 Originales",0.766,0.451,7,-8.755,1,0.0476,0.768,0,0.121,0.701,104.718,111400
"Mother Nature Sound FX","Music for Meditation","40 Peaceful Instrumentals for Relaxation",0.333,0.389,9,-20.866,0,0.215,0.964,3.54e-05,0.286,0.035,126.303,208941
"Wolfgang Amadeus Mozart","String Quintet in E-Flat Major, K. 614: IV. Finale","Mozart: String Quintets, K. 593 & K. 614",0.473,0.232,10,-19.054,1,0.036,0.954,0.872,0.0835,0.669,139.8,327400
"Soft Jazz Relaxation","Tasteful Martinis","Peaceful Music for Cocktail Hour - Trumpet and Soprano Sax",0.736,0.295,0,-15.759,0,0.0307,0.722,0.886,0.116,0.118,121.879,141641
"Sergei Rachmaninoff","13 Preludes, Op. 32: No. 13 in D-Flat Major: Grave - Allegro","Rachmaninov: 13 Preludes, Op. 32 / Liebesleid and Liebesfreud",0.335,0.081,1,-21.82,1,0.052,0.989,0.84,0.119,0.0372,74.444,421706
"Mother Nature Sound FX","A Sound to Focus","Sounds of Nature",0.0842,0.065,0,-25.94,1,0.0523,0.904,0.934,0.111,0.0344,171.533,264000
"Mother Nature Sound FX","Distant Earth","! ! ! ! Garden ! ! ! !",0.226,0.312,1,-24.418,0,0.0738,0.631,2.78e-06,0.392,0.15,81.943,191221
"Mother Nature Sound FX","Background Trickles","Nature",0.443,0.99,10,-18.434,0,0.136,0.496,0.882,0.809,0.0304,97.517,88557
"Ludwig van Beethoven","11 Bagatelles, Op.119: 5. Risoluto","Listen to Beethoven now!",0.584,0.077,5,-21.798,0,0.0695,0.995,0.756,0.187,0.393,83.885,67000
"Johann Sebastian Bach","Violin Sonata No. 3 in C Major, BWV 1005: I. Adagio","J.S. Bach: Violin Sonatas & Partitas",0.167,0.076,0,-19.34,1,0.0414,0.987,0.201,0.0677,0.144,86.925,311560
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Var. 14","Bach: Goldberg Variations, BWV 988",0.383,0.178,7,-22.752,1,0.0371,0.993,0.9,0.186,0.787,97.218,128462
"Johann Sebastian Bach","Brandenburg Concerto No. 1 F Major, BWV 1046: II. Adagio","Bach: Brandenburg Concertos",0.139,0.17,1,-15.161,0,0.0345,0.774,0.518,0.0998,0.0769,77.667,195520
"Johann Sebastian Bach","Six Little Preludes, BWV 933-938 : III. Prelude in D Minor","Johann Sebastian Bach: Keyboard Partita No.4, BWV 828; Six Little Preludes, BWV 933-938; Adagio",0.41,0.546,2,-13.668,0,0.0385,0.994,0.904,0.123,0.855,98.979,96026
"Björk","The Anchor Song","Debut",0.491,0.0295,0,-14.81,1,0.0619,0.936,0,0.0588,0.38,103.996,220626
"Santana","You Just Don't Care","Santana: The Woodstock Experience",0.37,0.469,4,-13.787,0,0.0514,0.00297,0.386,0.355,0.375,113.874,274773
"Charlie Puth","Some Type of Love","Nine Track Mind",0.702,0.595,2,-6.005,1,0.0912,0.392,0,0.0753,0.366,90.497,187906
"Los Prisioneros","We Are Sudamerican Rockers - 2002 Remaster","Lucha Rock",0.575,0.966,3,-3.055,1,0.0958,0.0803,0.000198,0.532,0.428,139.96,252906
"Iggy Pop","No Fun - Live From The Agora Ballroom, Cleveland, OH / 21st March 1977","The Bowie Years",0.244,0.934,9,-5.058,1,0.063,0.000538,0.053,0.666,0.789,127.32,192506
"Ludwig van Beethoven","7 Variations on ""Bei Männern, welche Liebe fühlen"", for Cello and Piano, WoO 46: Variation I","Beethoven For The Afternoon",0.674,0.0715,3,-25.411,1,0.0493,0.994,0.891,0.115,0.905,123.444,41906
"Johann Sebastian Bach","Partita For Violin Solo No.2 In D Minor, BWV 1004: 1. Allemande","J.S. Bach: Violin Concertos Nos. 1 & 2; Partita No. 2",0.388,0.0539,2,-18.842,0,0.051,0.993,0.00881,0.145,0.47,104.578,333293
"Max Richter","Infra 8","Voyager - Essential Max Richter",0.173,0.156,0,-14.8,0,0.046,0.917,0.661,0.0796,0.0852,67.556,199720
"Pyotr Ilyich Tchaikovsky","Piano Concerto No. 1 in B-Flat Minor, Op. 23: Andantino semplice - Prestissimo - Tempo 1","Chill With Tchaikovsky",0.211,0.0254,1,-32.857,1,0.0356,0.987,0.79,0.276,0.0391,95.245,464400
"Black Eyed Peas","Bridging The Gaps","Bridging The Gap",0.925,0.529,2,-5.486,1,0.133,0.0101,0.000102,0.277,0.681,104.138,296600
"Antonín Dvorák","Dvorák: Piano Concerto in G Minor, Op. 33, B. 63: I. Allegro agitato","Dvorák : Piano Concerto & The Golden Spinning Wheel",0.295,0.113,7,-20.299,0,0.0354,0.966,0.928,0.139,0.0597,131.27,1104573
"Wolfgang Amadeus Mozart","<U+30EC><U+30AF><U+30A4><U+30A8><U+30E0> <U+30CB><U+77ED><U+8ABF> K. 626(<U+5F26><U+697D><U+56DB><U+91CD><U+594F><U+7248>) <U+2168>. <U+30DB><U+30B9><U+30C6><U+30A3><U+30A2><U+30B9> (<U+8CDB><U+7F8E><U+306E><U+3044><U+3051><U+306B><U+3048>)","<U+30E2><U+30FC><U+30C4><U+30A1><U+30EB><U+30C8>:<U+30EC><U+30AF><U+30A4><U+30A8><U+30E0> <U+301C><U+5F26><U+697D><U+56DB><U+91CD><U+594F><U+7248><U+301C>",0.159,0.0812,10,-18.611,1,0.0444,0.97,0.876,0.13,0.0427,160.692,231576
"Nana Mouskouri","Quiereme Mucho","Serie 32:Nana Mouskouri",0.53,0.661,0,-8.037,1,0.0364,0.551,0.000438,0.36,0.512,123.864,210773
"Counting Crows","Why Should You Come When I Call?","Hard Candy",0.466,0.801,5,-4.14,0,0.0522,0.107,0,0.0499,0.425,139.366,277826
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Var. 21 - Canone alla Settima","Goldberg Variations - The Goldberg Variations, BWV 988",0.332,0.15,7,-24.604,0,0.0459,0.995,0.878,0.132,0.393,106.977,163333
"Johann Sebastian Bach","Prelude, Fugue and Allegro in E flat, BWV 998 - Arr. Guitar/Lute: 3. Allegro","The Magic of Bach",0.477,0.48,2,-17.055,1,0.0396,0.95,0.851,0.207,0.945,102.966,174133
"John Denver","Rhymes & Reasons - Live 1995","The Wildlife Concert",0.328,0.396,5,-15.026,1,0.188,0.824,0,0.949,0.474,70.64,193440
"Nana Mouskouri","Quai des amours perdues","Ballades",0.361,0.276,10,-14.209,1,0.0299,0.815,0.00189,0.184,0.141,75.584,239493
"Neil Young","Captain Kennedy","Hitchhiker",0.593,0.183,3,-18.537,1,0.0317,0.487,7.13e-05,0.129,0.728,79.982,171720
"Pyotr Ilyich Tchaikovsky","The Sleeping Beauty, Op. 66, Prologue: IV. Pas de Six. Variation 6 (La Fée des Lilas)","Tchaikovsky: Complete Ballets",0.182,0.123,0,-23.195,1,0.0408,0.853,0.929,0.37,0.466,156.291,66786
"Ludwig van Beethoven","7 British Songs, WoO 158b: 1. Adieu, My Lov'd Harp","Beethoven Folksongs",0.437,0.0438,9,-23.579,1,0.0583,0.992,6.73e-05,0.0855,0.219,103.581,145000
"Frédéric Chopin","Danse macabre, Op.40","Classical Halloween",0.338,0.541,2,-9.887,1,0.0404,0.862,0.581,0.269,0.0735,117.526,213440
"Frédéric Chopin","19 Polish Songs, Op. 74 (text by Z. Krasinski, S. Witwicki and B. Zaleski): No. 8. Sliczny chlopiec (Handsome lad)","Chopin: Complete Songs, Op. 74 & 3 Nocturnes, Opus Posthum",0.488,0.182,9,-11.273,1,0.0582,0.971,0,0.0716,0.306,122.118,171253
